word,freq
宝玉,3907.0
贾母,1686.0
凤姐,1228.0
袭人,1152.0
王夫人,1080.0
宝钗,1045.0
贾政,947.0
贾琏,772.0
平儿,681.0
薛姨妈,464.0
探春,439.0
紫鹃,437.0
鸳鸯,413.0
贾珍,389.0
李纨,368.0
尤氏,343.0
晴雯,342.0
刘姥姥,292.0
邢夫人,287.0
薛蟠,287.0
林黛玉,278.0
香菱,264.0
麝月,232.0
贾蓉,230.0
贾赦,195.0
惜春,193.0
贾芸,191.0
周瑞家的,168.0
芳官,161.0
贾环,152.0
妙玉,152.0
雪雁,151.0
迎春,141.0
赵姨娘,132.0
莺儿,130.0
宝蟾,116.0
秦钟,107.0
巧姐,103.0
薛蝌,103.0
秋纹,99.0
贾兰,94.0
尤二姐,91.0
茗烟,88.0
史湘云,87.0
大了,86.0
林之孝家的,82.0
司棋,81.0
五儿,81.0
赖大,77.0
贾瑞,72.0
贾蔷,69.0
凤丫头,64.0
林之孝,61.0
兴儿,59.0
焙茗,58.0
冯紫英,58.0
琥珀,57.0
包勇,56.0
彩云,56.0
旺儿,52.0
翠缕,47.0
门子,45.0
周瑞,44.0
丰儿,43.0
玉钏儿,43.0
李贵,42.0
柳家的,41.0
金钏儿,39.0
板儿,38.0
李嬷嬷,37.0
倪二,37.0
金荣,36.0
王仁,36.0
甄宝玉,36.0
坠儿,36.0
鲍二,35.0
北静王,35.0
秋桐,35.0
藕官,34.0
尤三姐,34.0
春燕,33.0
贾芹,33.0
琏二奶奶,31.0
彩屏,27.0
李十儿,27.0
侍书,27.0
李纹,26.0
玻璃,25.0
王善保家的,25.0
薛宝钗,25.0
翠墨,24.0
张道士,24.0
彩霞,23.0
马道婆,23.0
王太医,23.0
王子腾,23.0
柳湘莲,22.0
蕊官,22.0
邢岫烟,22.0
龄官,21.0
贾敬,20.0
李绮,20.0
佩凤,20.0
入画,19.0
狗儿,18.0
贾雨村,18.0
文官,18.0
邢大舅,18.0
绣桔,18.0
云儿,18.0
詹光,18.0
大姐儿,17.0
李宫裁,17.0
颦儿,17.0
贾宝玉,16.0
焦大,16.0
水溶,16.0
王一贴,16.0
尤老娘,16.0
元春,16.0
智能,16.0
彩明,15.0
花自芳,15.0
青儿,15.0
素云,15.0
英莲,15.0
碧痕,14.0
李婶娘,14.0
鲍二家的,13.0
封肃,13.0
女先儿,13.0
琪官,13.0
鹦哥,13.0
赵嬷嬷,13.0
赵堂官,13.0
贾菌,12.0
空空道人,12.0
赖大家的,12.0
赖尚荣,12.0
王家的,12.0
旺儿媳妇,12.0
吴新登,12.0
俞禄,12.0
锄药,11.0
金钏,11.0
赖嬷嬷,11.0
秋菱,11.0
小幺儿,11.0
周姨娘,11.0
林如海,10.0
茜雪,10.0
太妃,10.0
赵姨奶奶,10.0
智能儿,10.0
程日兴,9.0
王熙凤,9.0
乌进孝,9.0
潇湘妃子,9.0
张材家的,9.0
珍大嫂子,9.0
甄士隐,9.0
卜世仁,8.0
蕙香,8.0
贾琮,8.0
贾珠,8.0
来升,8.0
冷子兴,8.0
莲花儿,8.0
隆儿,8.0
墨雨,8.0
蓉哥儿,8.0
喜鸾,8.0
小螺,8.0
张德辉,8.0
张王氏,8.0
昭儿,8.0
甄应嘉,8.0
戴权,7.0
傅试,7.0
葵官,7.0
林大娘,7.0
神瑛侍者,7.0
四姐儿,7.0
宋嬷嬷,7.0
孙绍祖,7.0
旺儿家的,7.0
夏婆子,7.0
甄夫人,7.0
周大娘,7.0
宝官,6.0
宝珠,6.0
碧月,6.0
冯渊,6.0
凤哥儿,6.0
蘅芜君,6.0
胡君荣,6.0
贾菖,6.0
贾菱,6.0
金彩,6.0
金文翔,6.0
警幻仙子,6.0
赖升,6.0
李妈,6.0
临安伯,6.0
柳嫂子,6.0
毛半仙,6.0
宁国公,6.0
荣国公,6.0
宋妈妈,6.0
夏三,6.0
香怜,6.0
北静郡王,5.0
稻香老农,5.0
多浑虫,5.0
花大姐姐,5.0
璜大奶奶,5.0
净虚,5.0
可卿,5.0
来旺媳妇,5.0
南安郡王,5.0
石呆子,5.0
宋妈,5.0
王老爷,5.0
王住儿媳妇,5.0
邢德全,5.0
薛宝琴,5.0
张大,5.0
张家的,5.0
周嫂子,5.0
艾官,4.0
北静王妃,4.0
跛足道人,4.0
曹雪芹,4.0
豆官,4.0
二丫头,4.0
傅秋芳,4.0
霍启,4.0
贾代儒,4.0
贾化,4.0
贾璜,4.0
娇杏,4.0
蕉下客,4.0
槛外人,4.0
来升媳妇,4.0
柳家媳妇,4.0
南安王,4.0
扫红,4.0
书吏,4.0
王尔调,4.0
吴贵,4.0
夏守忠,4.0
偕鸳,4.0
昭容,4.0
甄家娘子,4.0
周瑞媳妇,4.0
单聘仁,3.0
靛儿,3.0
翡翠,3.0
封氏,3.0
畸人,3.0
贾范,3.0
贾琼,3.0
绛珠草,3.0
菱洲,3.0
柳五儿,3.0
娄氏,3.0
梅翰林,3.0
藕榭,3.0
潘三保,3.0
钱槐,3.0
秦显家的,3.0
庆儿,3.0
裘世安,3.0
蓉哥儿媳妇,3.0
傻大舅,3.0
善姐,3.0
寿儿,3.0
太上皇,3.0
檀云,3.0
同贵,3.0
同喜,3.0
王嬷嬷,3.0
王善保,3.0
王兴媳妇,3.0
西宁郡王,3.0
夏金桂,3.0
小内监,3.0
小鹊,3.0
小舍儿,3.0
叶妈,3.0
怡红公子,3.0
引泉,3.0
玉官,3.0
张大老爷,3.0
臻儿,3.0
枕霞旧友,3.0
智通,3.0
住儿,3.0
篆儿,3.0
紫绡,3.0
安国公,2.0
伴鹤,2.0
鲍二媳妇,2.0
彩嫔,2.0
炒豆儿,2.0
春纤,2.0
翠云,2.0
戴良,2.0
单大良,2.0
多姑娘儿,2.0
凤哥,2.0
凤辣子,2.0
贾琛,2.0
贾代化,2.0
贾珩,2.0
贾萍,2.0
贾荇,2.0
贾迎春,2.0
贾元春,2.0
贾源,2.0
贾芝,2.0
贾芷,2.0
锦乡侯,2.0
来旺儿,2.0
老王道士,2.0
老祝妈,2.0
李衙内,2.0
刘铁嘴,2.0
渺渺真人,2.0
潘又安,2.0
秦显,2.0
沁香,2.0
色空,2.0
山子野,2.0
缮国公,2.0
王济仁,2.0
王奶妈,2.0
王兴,2.0
王子胜,2.0
王子腾夫人,2.0
忘仁,2.0
文妙真人,2.0
吴大娘,2.0
五嫂子,2.0
夏奶奶,2.0
夏太监,2.0
襄阳侯,2.0
偕鸾,2.0
绣凤,2.0
绣鸾,2.0
嫣红,2.0
玉爱,2.0
云光,2.0
云老爷,2.0
张如圭,2.0
张若锦,2.0
赵国基,2.0
赵全,2.0
赵亦华,2.0
智善,2.0
周二爷,2.0
白老媳妇,1.0
保宁侯,1.0
抱琴,1.0
鲍太医,1.0
鲍音,1.0
卜固修,1.0
彩儿,1.0
彩凤,1.0
彩哥,1.0
彩鸾,1.0
沈世兄,1.0
陈瑞文,1.0
陈也俊,1.0
陈翼,1.0
痴梦仙姑,1.0
仇都尉,1.0
川宁侯,1.0
呆霸王,1.0
单大娘,1.0
定城侯,1.0
东平郡王,1.0
度恨菩提,1.0
二木头,1.0
方椿,1.0
费大娘,1.0
冯胖子,1.0
冯唐,1.0
韩奇,1.0
何婆,1.0
鹤仙,1.0
黑儿,1.0
侯晓明,1.0
侯孝康,1.0
胡道长,1.0
胡氏,1.0
胡斯来,1.0
胡太医,1.0
黄莺儿,1.0
璜嫂子,1.0
嵇好古,1.0
茄官,1.0
贾敕,1.0
贾存周,1.0
贾代善,1.0
贾敦,1.0
贾芳,1.0
贾芬,1.0
贾敷,1.0
贾复,1.0
贾蘅,1.0
贾敏,1.0
贾琼之母,1.0
贾惜春,1.0
贾效,1.0
贾演,1.0
贾璎,1.0
贾藻,1.0
贾蓁,1.0
兼美,1.0
蒋子宁,1.0
绛珠仙子,1.0
娇红,1.0
锦乡侯诰命,1.0
景田侯,1.0
警幻仙姑,1.0
可儿,1.0
孔继宗,1.0
来旺,1.0
来旺家的,1.0
来喜家的,1.0
来兴,1.0
赖大的媳妇,1.0
赖二,1.0
赖嫂子,1.0
老苍头,1.0
老太妃,1.0
老田妈,1.0
老王家的,1.0
老叶妈,1.0
乐善郡王,1.0
李奶子,1.0
李先儿,1.0
李孝,1.0
李御史,1.0
